type	classe	imageName	date	scene	Vmin	Vmax	Vmean	Rmin	Rmax	Rmean	NIRmin	NIRmax	NIRmean	MIRmin	MIRmax	MIRmean	evi2min	evi2max	evi2mean	ndcimin	ndcimax	ndcimean	ndvimin	ndvimax	ndvimean	mntmin	mntmax	mntmean	ndwimin	ndwimax	ndwimean
vegbasse	2	20101005-687-342	20101005	687-342	283	312	292,92	31	35	32,77	54	59	56,15	115	131	118,77	0,39	0,49	0,43	0,54	0,59	0,57	0,24	0,3	0,26	NA	NA	NA	NA	NA	NA
foret	10	20101005-687-342	20101005	687-342	108	327	215,88	23	95	30,51	43	78	52,69	52	184	88,99	-0,15	0,56	0,44	0,29	0,64	0,49	-0,11	0,33	0,27	NA	NA	NA	NA	NA	NA
vegbasse	2	20101005-687-342	20101005	687-342	294	426	378,39	33	39	36,08	57	68	64,24	135	172	152,91	0,41	0,51	0,46	0,59	0,65	0,62	0,25	0,31	0,28	NA	NA	NA	NA	NA	NA
foret	10	20101005-687-342	20101005	687-342	115	312	219,17	25	47	31,75	46	71	54,34	58	136	95,2	0,29	0,53	0,43	0,34	0,61	0,5	0,19	0,32	0,26	NA	NA	NA	NA	NA	NA
vegbasse	2	20101005-687-342	20101005	687-342	318	396	373,26	33	37	34,51	56	67	62,91	139	174	163,17	0,41	0,53	0,48	0,62	0,67	0,65	0,25	0,31	0,29	NA	NA	NA	NA	NA	NA
foret	10	20101005-687-342	20101005	687-342	102	327	213,2	23	46	30,35	43	68	53,07	60	136	96,81	0,29	0,58	0,45	0,34	0,64	0,52	0,18	0,34	0,27	NA	NA	NA	NA	NA	NA
vegbasse	2	20101005-687-342	20101005	687-342	329	378	356,49	35	37	35,73	61	67	64,2	147	175	164,8	0,41	0,53	0,47	0,62	0,67	0,64	0,25	0,31	0,28	NA	NA	NA	NA	NA	NA
foret	10	20101005-687-342	20101005	687-342	108	286	205,37	23	47	30,73	43	67	53,11	50	121	93,64	0,21	0,55	0,44	0,34	0,6	0,5	0,14	0,32	0,27	NA	NA	NA	NA	NA	NA
nuage	6	20101005-687-342	20101005	687-342	173	281	240,54	33	129	71,57	54	151	93,33	103	210	150,1	0,11	0,47	0,22	0,23	0,55	0,36	0,08	0,28	0,14	NA	NA	NA	NA	NA	NA
ombre	7	20101005-687-342	20101005	687-342	65	229	129,79	22	64	27,51	43	76	48,43	33	99	57,11	0,09	0,56	0,46	-0,12	0,53	0,34	0,06	0,33	0,28	NA	NA	NA	NA	NA	NA
nuage	6	20101005-687-342	20101005	687-342	191	255	226,72	38	95	61,21	59	120	83,22	104	170	134,15	0,16	0,38	0,25	0,25	0,51	0,38	0,1	0,23	0,16	NA	NA	NA	NA	NA	NA
nuage	6	20101005-687-342	20101005	687-342	214	251	234,16	41	80	57,31	62	103	80,58	105	147	125,89	0,19	0,37	0,27	0,29	0,47	0,38	0,12	0,23	0,17	NA	NA	NA	NA	NA	NA
Pinot	11	20101005-687-342	20101005	687-342	163	253	216,46	27	34	30,73	48	57	53,09	72	91	81,71	0,34	0,55	0,44	0,4	0,52	0,45	0,21	0,32	0,27	NA	NA	NA	NA	NA	NA
foret	10	20101005-687-342	20101005	687-342	104	307	213,7	23	43	29,93	43	70	52,93	58	124	93,43	0,29	0,58	0,46	0,36	0,6	0,51	0,18	0,34	0,28	NA	NA	NA	NA	NA	NA
vegbasse	2	20101005-687-342	20101005	687-342	283	312	292,92	31	35	32,77	54	59	56,15	115	131	118,77	0,39	0,49	0,43	0,54	0,59	0,57	0,24	0,3	0,26	NA	NA	NA	NA	NA	NA
vegbasse	2	20110902-687-342	20110902	687-342	336	384	364,16	34	37	35,2	55	64	59,78	119	140	132,34	0,38	0,48	0,42	NA	NA	NA	0,24	0,29	0,26	NA	NA	NA	NA	NA	NA
foret	12	20110902-687-342	20110902	687-342	81	322	194,72	21	72	28,53	40	87	48,72	38	147	76,53	0,09	0,58	0,43	NA	NA	NA	0,06	0,34	0,26	NA	NA	NA	NA	NA	NA
vegbasse	2	20110902-687-342	20110902	687-342	334	397	370,02	30	37	34,27	55	67	61,28	122	152	138,94	0,43	0,54	0,47	NA	NA	NA	0,26	0,32	0,28	NA	NA	NA	NA	NA	NA
foret	10	20110902-687-342	20110902	687-342	85	341	196,01	23	38	28,16	40	64	48,87	41	128	80,02	0,31	0,56	0,44	NA	NA	NA	0,2	0,33	0,27	NA	NA	NA	NA	NA	NA
nuage	6	20110902-687-342	20110902	687-342	103	530	433,43	34	394	323,4	50	429	352,34	52	381	306,28	0,02	0,3	0,07	NA	NA	NA	0,01	0,19	0,05	NA	NA	NA	NA	NA	NA
ombr	7	20110902-687-342	20110902	687-342	54	226	78,45	26	43	29,47	40	62	44,59	26	92	35,98	0,22	0,44	0,33	NA	NA	NA	0,14	0,27	0,2	NA	NA	NA	NA	NA	NA
nuage	6	20110902-687-342	20110902	687-342	83	530	378,53	32	394	261,88	48	429	285,5	44	381	292,82	0,03	0,35	0,08	NA	NA	NA	0,02	0,22	0,05	NA	NA	NA	NA	NA	NA
ombre	7	20110902-687-342	20110902	687-342	93	255	156,34	29	43	34,17	47	62	51,75	52	119	77,28	0,23	0,44	0,33	NA	NA	NA	0,15	0,27	0,21	NA	NA	NA	NA	NA	NA
frange	8	20110902-687-342	20110902	687-342	143	237	206,45	37	112	82,4	55	134	101,45	83	171	137,19	0,12	0,31	0,17	NA	NA	NA	0,08	0,2	0,11	NA	NA	NA	NA	NA	NA
frange	8	20110902-687-342	20110902	687-342	153	243	211,06	35	98	60,1	53	122	81,58	91	171	127,23	0,15	0,41	0,25	NA	NA	NA	0,1	0,25	0,16	NA	NA	NA	NA	NA	NA
frange	8	20110902-687-342	20110902	687-342	182	270	217,14	32	64	50,6	55	87	72,82	95	136	123,41	0,2	0,46	0,29	NA	NA	NA	0,13	0,28	0,18	NA	NA	NA	NA	NA	NA
frange	8	20110902-687-342	20110902	687-342	147	237	207,95	29	86	54,18	48	111	76,19	74	137	113,46	0,15	0,47	0,28	NA	NA	NA	0,1	0,28	0,18	NA	NA	NA	NA	NA	NA
vegbasse	2	20110902-687-342	20110902	687-342	286	355	328,33	30	35	32,63	55	62	57,65	125	153	143,83	0,41	0,56	0,46	NA	NA	NA	0,25	0,33	0,28	NA	NA	NA	NA	NA	NA
foret	12	20110902-687-342	20110902	687-342	89	309	194,38	21	58	27,47	40	74	48,61	47	131	86,7	0,15	0,58	0,46	NA	NA	NA	0,1	0,34	0,28	NA	NA	NA	NA	NA	NA
Pinot	11	20110902-687-342	20110902	687-342	147	232	195,54	24	32	28,91	43	55	50,05	68	98	78,28	0,35	0,53	0,44	NA	NA	NA	0,22	0,32	0,27	NA	NA	NA	NA	NA	NA
vegbasse	2	20110912-688-342	20110912	688-342	366	442	414,41	48	52	49,41	74	79	75,91	170	200	194,95	0,32	0,38	0,34	NA	NA	NA	0,2	0,23	0,21	NA	NA	NA	NA	NA	NA
vegbasse	2	20110912-688-342	20110912	688-342	353	400	381,54	46	50	47,98	72	77	74,53	173	200	187,36	0,33	0,38	0,35	NA	NA	NA	0,21	0,24	0,22	NA	NA	NA	NA	NA	NA
vegbasse	2	20110912-688-342	20110912	688-342	358	436	398,56	47	64	51,23	71	87	76,88	179	200	193,14	0,24	0,37	0,32	NA	NA	NA	0,15	0,23	0,2	NA	NA	NA	NA	NA	NA
foret	10	20110912-688-342	20110912	688-342	219	335	289,42	41	147	71,81	62	165	93,19	106	200	162,32	0,06	0,39	0,23	NA	NA	NA	0,04	0,24	0,15	NA	NA	NA	NA	NA	NA
foret	10	20110912-688-342	20110912	688-342	154	418	277,49	36	53	44,25	57	79	67,73	77	191	138,24	0,25	0,4	0,34	NA	NA	NA	0,16	0,25	0,21	NA	NA	NA	NA	NA	NA
foret	10	20110912-688-342	20110912	688-342	141	386	257,15	34	59	43,44	54	82	66,94	72	193	126,21	0,21	0,42	0,34	NA	NA	NA	0,14	0,26	0,21	NA	NA	NA	NA	NA	NA
roche	4	20110912-688-342	20110912	688-342	175	206	192,33	89	130	110,83	91	114	101,92	199	200	199,92	-0,11	0,02	-0,06	NA	NA	NA	-0,08	0,01	-0,04	NA	NA	NA	NA	NA	NA
roche	4	20110912-688-342	20110912	688-342	163	212	185,33	62	91	79,26	73	101	89,04	173	200	198,26	0,02	0,15	0,09	NA	NA	NA	0,02	0,1	0,06	NA	NA	NA	NA	NA	NA
vegbasse	2	20110912-688-342	20110912	688-342	358	438	397,57	45	53	48,61	69	83	76,76	174	200	196,44	0,31	0,4	0,36	NA	NA	NA	0,2	0,25	0,22	NA	NA	NA	NA	NA	NA
nuage	6	20110912-688-342	20110912	688-342	150	462	386,65	60	221	188,5	81	168	157,8	94	200	196,98	-0,21	0,27	-0,1	NA	NA	NA	-0,15	0,17	-0,07	NA	NA	NA	NA	NA	NA
ombre	7	20110912-688-342	20110912	688-342	79	335	134,87	33	69	39,07	54	91	61,7	36	173	63,92	0,21	0,44	0,36	NA	NA	NA	0,14	0,27	0,23	NA	NA	NA	NA	NA	NA
nuage	6	20110912-688-342	20110912	688-342	199	360	304,78	43	203	105,93	66	168	122,42	107	200	186,67	-0,15	0,34	0,13	NA	NA	NA	-0,1	0,21	0,09	NA	NA	NA	NA	NA	NA
ombre	7	20110912-688-342	20110912	688-342	83	426	174	33	55	38,91	54	81	62	40	197	82,14	0,27	0,45	0,37	NA	NA	NA	0,17	0,27	0,23	NA	NA	NA	NA	NA	NA
ombre	7	20110912-688-342	20110912	688-342	92	242	150,84	33	43	37,57	55	68	60,22	44	118	68,46	0,32	0,43	0,37	NA	NA	NA	0,2	0,26	0,23	NA	NA	NA	NA	NA	NA
Pinot	11	20110912-688-342	20110912	688-342	237	290	263,45	43	50	46,12	66	73	69,18	104	125	112,63	0,29	0,36	0,32	NA	NA	NA	0,18	0,23	0,2	NA	NA	NA	NA	NA	NA
vegbasse	2	20120915-688-342	20120915	688-342	236	349	317,65	36	40	37,33	57	62	59,9	111	159	140,81	0,34	0,4	0,37	NA	NA	NA	0,21	0,24	0,23	NA	NA	NA	NA	NA	NA
foret	10	20120915-688-342	20120915	688-342	99	297	194,81	28	48	33,88	45	65	53,19	36	135	87,13	0,23	0,46	0,36	NA	NA	NA	0,15	0,28	0,22	NA	NA	NA	NA	NA	NA
foret	10	20120915-688-342	20120915	688-342	93	292	196,94	28	45	33,37	47	64	53,25	36	134	87,67	0,19	0,47	0,37	NA	NA	NA	0,12	0,28	0,23	NA	NA	NA	NA	NA	NA
ombre	7	20120915-688-342	20120915	688-342	66	251	135,79	26	34	29,8	45	55	49,27	25	106	56,06	0,34	0,48	0,4	NA	NA	NA	0,21	0,29	0,25	NA	NA	NA	NA	NA	NA
nuage	6	20120915-688-342	20120915	688-342	161	299	222,16	32	159	65,37	52	170	83,1	70	203	131,68	0	0,41	0,21	NA	NA	NA	0	0,25	0,14	NA	NA	NA	NA	NA	NA
nuage	6	20120915-688-342	20120915	688-342	148	244	205,94	35	58	48,53	57	78	67,29	75	132	111,53	0,16	0,39	0,26	NA	NA	NA	0,1	0,24	0,16	NA	NA	NA	NA	NA	NA
nuage	6	20120915-688-342	20120915	688-342	167	240	210,59	31	79	51,39	53	94	70	77	151	113,8	0,1	0,43	0,25	NA	NA	NA	0,07	0,26	0,16	NA	NA	NA	NA	NA	NA
nuage	6	20120915-688-342	20120915	688-342	110	253	190,89	29	37	32,64	47	57	51,75	58	127	82,83	0,3	0,42	0,37	NA	NA	NA	0,19	0,26	0,23	NA	NA	NA	NA	NA	NA
ombre	7	20120915-688-342	20120915	688-342	58	222	116,59	26	37	29,73	44	55	48,55	19	103	48,28	0,3	0,46	0,39	NA	NA	NA	0,19	0,28	0,24	NA	NA	NA	NA	NA	NA
nuage	6	20120915-688-342	20120915	688-342	172	244	206,5	37	58	45,55	54	80	62,23	70	115	95,95	0,08	0,33	0,25	NA	NA	NA	0,06	0,2	0,16	NA	NA	NA	NA	NA	NA
roche	4	20120915-688-342	20120915	688-342	88	194	126,65	43	74	59,85	62	80	71,3	111	172	140,25	0,05	0,29	0,14	NA	NA	NA	0,03	0,18	0,09	NA	NA	NA	NA	NA	NA
vegbasse	2	20120915-688-342	20120915	688-342	286	334	314,19	37	44	39,85	59	67	63,35	127	152	142,77	0,33	0,4	0,37	NA	NA	NA	0,21	0,25	0,23	NA	NA	NA	NA	NA	NA
vegbasse	2	20120915-688-342	20120915	688-342	321	374	349,5	37	39	37,92	59	63	60,83	135	162	147,5	0,35	0,4	0,37	NA	NA	NA	0,22	0,24	0,23	NA	NA	NA	NA	NA	NA
vegbasse	2	20120915-688-342	20120915	688-342	317	411	362,14	37	44	40,24	59	69	63,72	123	159	142,72	0,32	0,43	0,36	NA	NA	NA	0,2	0,26	0,23	NA	NA	NA	NA	NA	NA
Pinot	11	20120915-688-342	20120915	688-342	181	227	205,81	34	37	35,94	53	57	55,15	71	90	79,23	0,31	0,38	0,34	NA	NA	NA	0,2	0,24	0,21	NA	NA	NA	NA	NA	NA
vegbasse	2	20141016-688-342	20141016	688-342	330	389	357,95	39	46	43,09	64	71	68,32	152	170	162,14	0,31	0,42	0,37	NA	NA	NA	0,2	0,26	0,23	NA	NA	NA	NA	NA	NA
nuage	6	20141016-688-342	20141016	688-342	229	459	377,27	60	352	237,84	80	373	259,81	147	384	310,15	0,04	0,22	0,07	NA	NA	NA	0,03	0,14	0,05	NA	NA	NA	NA	NA	NA
nuage	6	20141016-688-342	20141016	688-342	170	313	263,73	37	163	87,22	54	185	107,87	86	236	167,28	0,08	0,37	0,18	NA	NA	NA	0,06	0,23	0,12	NA	NA	NA	NA	NA	NA
ombre	7	20141016-688-342	20141016	688-342	128	237	168,81	37	84	52,93	56	104	73,51	69	128	95,79	0,16	0,39	0,26	NA	NA	NA	0,11	0,24	0,17	NA	NA	NA	NA	NA	NA
ombre	7	20141016-688-342	20141016	688-342	71	290	144,71	30	48	35,3	49	71	54,56	34	123	64,63	0,25	0,43	0,34	NA	NA	NA	0,16	0,26	0,21	NA	NA	NA	NA	NA	NA
vegbasse	2	20141016-688-342	20141016	688-342	317	387	356,26	39	43	40,77	64	71	66,19	146	167	158,68	0,33	0,44	0,38	NA	NA	NA	0,2	0,27	0,24	NA	NA	NA	NA	NA	NA
vegbasse	2	20141016-688-342	20141016	688-342	296	374	345,89	34	40	37,74	58	69	63,76	129	165	151,81	0,34	0,46	0,42	NA	NA	NA	0,21	0,28	0,26	NA	NA	NA	NA	NA	NA
foret	10	20141016-688-342	20141016	688-342	94	322	230,3	27	45	34,18	45	65	56,25	52	135	102,64	0,25	0,48	0,4	NA	NA	NA	0,16	0,29	0,24	NA	NA	NA	NA	NA	NA
foret	10	20141016-688-342	20141016	688-342	103	349	230,86	30	49	36,39	47	71	57,26	49	156	106,9	0,25	0,46	0,36	NA	NA	NA	0,16	0,28	0,22	NA	NA	NA	NA	NA	NA
foret	10	20141016-688-342	20141016	688-342	73	366	211,98	21	52	29,26	40	71	50,56	28	132	84,79	0,14	0,62	0,44	NA	NA	NA	0,09	0,36	0,27	NA	NA	NA	NA	NA	NA
roche	4	20141016-688-342	20141016	688-342	153	181	167,92	51	81	66,75	64	78	72,25	175	220	198,75	-0,03	0,19	0,07	NA	NA	NA	-0,02	0,12	0,04	NA	NA	NA	NA	NA	NA
roche	4	20141016-688-342	20141016	688-342	145	176	161,64	40	67	54,2	62	71	66,84	149	184	169,24	0,04	0,35	0,17	NA	NA	NA	0,03	0,22	0,11	NA	NA	NA	NA	NA	NA
vegbasse	2	20141016-688-342	20141016	688-342	301	393	355,42	30	39	34,26	54	69	61,51	128	173	157,2	0,37	0,54	0,47	NA	NA	NA	0,23	0,32	0,28	NA	NA	NA	NA	NA	NA
vegbasse	2	20110902-688-343	20110902	688-343	355	457	413,04	44	50	47,52	70	80	76,11	168	201	192,39	0,36	0,39	0,37	0,57	0,62	0,6	0,22	0,24	0,23	NA	NA	NA	NA	NA	NA
foret	10	20110902-688-343	20110902	688-343	125	375	253,52	35	58	44,03	56	82	67,62	66	190	134	0,24	0,43	0,34	0,29	0,62	0,5	0,15	0,26	0,21	NA	NA	NA	NA	NA	NA
nuage	6	20110902-688-343	20110902	688-343	236	359	299,91	53	215	111,28	75	168	126,15	138	201	189,21	-0,18	0,3	0,12	-0,04	0,51	0,28	-0,13	0,19	0,08	NA	NA	NA	NA	NA	NA
ombre	7	20110902-688-343	20110902	688-343	87	303	152,09	32	66	38,87	54	91	61,7	41	149	74,55	0,23	0,44	0,37	0,09	0,55	0,29	0,15	0,27	0,23	NA	NA	NA	NA	NA	NA
ombre	7	20110902-688-343	20110902	688-343	121	335	219,68	35	49	41,6	56	75	65,25	56	175	111,47	0,3	0,41	0,36	0,22	0,59	0,44	0,19	0,25	0,22	NA	NA	NA	NA	NA	NA
nuage	6	20110902-688-343	20110902	688-343	223	306	270,28	48	91	67,86	70	113	89,5	131	190	166,05	0,15	0,31	0,22	0,34	0,49	0,42	0,1	0,2	0,14	NA	NA	NA	NA	NA	NA
vegbasse	2	20110902-688-343	20110902	688-343	361	430	391,85	45	50	47,51	71	78	74,79	173	201	190,06	0,32	0,39	0,36	0,57	0,62	0,6	0,2	0,24	0,22	NA	NA	NA	NA	NA	NA
vegbasse	2	20110902-688-343	20110902	688-343	245	368	323,15	41	47	44,96	65	74	69,96	125	175	150,11	0,31	0,39	0,35	0,47	0,59	0,54	0,19	0,24	0,22	NA	NA	NA	NA	NA	NA
roche	4	20110902-688-343	20110902	688-343	170	252	215,67	55	109	90	72	107	90,4	187	201	199,17	-0,08	0,23	0,01	0,29	0,55	0,38	-0,06	0,15	0,01	NA	NA	NA	NA	NA	NA
roche	4	20110902-688-343	20110902	688-343	185	216	204,18	80	95	88,23	83	93	87,45	199	201	200,27	-0,07	0,07	-0,01	0,36	0,43	0,39	-0,05	0,05	0	NA	NA	NA	NA	NA	NA
vegbasse	2	20110902-688-343	20110902	688-343	339	463	405,23	42	51	47,64	67	81	75,59	161	198	181,25	0,33	0,39	0,37	0,55	0,6	0,58	0,21	0,24	0,23	NA	NA	NA	NA	NA	NA
roche	4	20110902-688-343	20110902	688-343	190	234	208	77	100	88,66	79	97	86,93	198	201	199,97	-0,06	0,03	-0,01	0,33	0,44	0,39	-0,04	0,02	-0,01	NA	NA	NA	NA	NA	NA
foret	10	20110902-688-343	20110902	688-343	128	401	271,76	34	59	43,92	54	84	67,84	74	198	137,59	0,22	0,41	0,34	0,32	0,63	0,51	0,14	0,25	0,21	NA	NA	NA	NA	NA	NA
foret	10	20110902-688-343	20110902	688-343	134	370	249,04	34	62	43,73	55	84	67,42	66	184	134,04	0,2	0,42	0,34	0,29	0,61	0,51	0,13	0,25	0,21	NA	NA	NA	NA	NA	NA
roche	4	20110902-688-343	20110902	688-343	190	250	215,76	68	99	80,95	76	100	84,86	198	201	200,19	-0,05	0,11	0,04	0,34	0,49	0,43	-0,04	0,07	0,02	NA	NA	NA	NA	NA	NA
vegbasse	2	20110902-688-343	20110902	688-343	330	414	373,15	44	51	46,36	68	78	72,05	169	201	189	0,32	0,38	0,35	0,57	0,63	0,61	0,2	0,23	0,22	NA	NA	NA	NA	NA	NA
vegbasse	2	20110902-688-343	20110902	688-343	297	381	347,76	42	49	45,84	66	77	71,12	149	190	172,24	0,32	0,38	0,35	0,54	0,6	0,58	0,2	0,24	0,22	NA	NA	NA	NA	NA	NA
foret	10	20110902-688-343	20110902	688-343	112	366	250,19	35	56	43,24	56	85	66,94	67	185	132,95	0,23	0,41	0,35	0,29	0,62	0,51	0,15	0,25	0,22	NA	NA	NA	NA	NA	NA
foret	10	20110902-688-343	20110902	688-343	132	388	261,83	35	71	43,08	56	88	66,77	82	185	134,47	0,16	0,4	0,35	0,33	0,61	0,51	0,11	0,25	0,22	NA	NA	NA	NA	NA	NA
vegbasse	2	20110902-688-343	20110902	688-343	290	394	343,75	44	61	47,69	67	85	72,36	155	201	171,46	0,25	0,36	0,33	0,53	0,6	0,56	0,16	0,22	0,21	NA	NA	NA	NA	NA	NA
destructure	10	20110902-688-343	20110902	688-343	239	401	321,75	40	50	45,72	62	78	70,82	115	187	154,93	0,31	0,39	0,35	0,47	0,6	0,54	0,2	0,24	0,22	NA	NA	NA	NA	NA	NA
destructure	10	20110902-688-343	20110902	688-343	201	365	295,81	39	56	44,27	59	78	68,7	89	171	140,77	0,23	0,4	0,35	0,38	0,59	0,52	0,15	0,25	0,22	NA	NA	NA	NA	NA	NA
destructure	10	20110902-688-343	20110902	688-343	197	395	293,33	39	53	44,31	60	78	68,46	97	183	141,06	0,25	0,39	0,34	0,41	0,61	0,52	0,16	0,24	0,21	NA	NA	NA	NA	NA	NA
vegbasse	2	20121016-688-343	20121016	688-343	324	379	353,12	37	40	38,92	62	67	64,96	124	149	139,29	0,39	0,43	0,41	0,54	0,59	0,56	0,24	0,26	0,25	NA	NA	NA	NA	NA	NA
vegbasse	2	20121016-688-343	20121016	688-343	319	361	345,5	36	40	38,43	61	67	64,43	132	148	139,64	0,39	0,43	0,41	0,54	0,6	0,57	0,24	0,26	0,25	NA	NA	NA	NA	NA	NA
roche	4	20121016-688-343	20121016	688-343	217	249	233	44	47	45,5	65	68	66,5	136	157	146,5	0,29	0,31	0,3	0,51	0,54	0,53	0,18	0,19	0,19	NA	NA	NA	NA	NA	NA
roche	4	20121016-688-343	20121016	688-343	223	247	235,5	39	47	42,67	62	67	64,17	150	162	155,67	0,28	0,37	0,32	0,55	0,6	0,57	0,18	0,23	0,2	NA	NA	NA	NA	NA	NA
vegbasse	2	20121016-688-343	20121016	688-343	270	360	311,12	33	39	37,08	57	65	61,5	108	133	122,23	0,37	0,45	0,4	0,48	0,56	0,53	0,23	0,27	0,25	NA	NA	NA	NA	NA	NA
roche	4	20121016-688-343	20121016	688-343	226	237	229,8	46	48	46,8	66	67	66,4	146	174	162,4	0,26	0,28	0,27	0,52	0,58	0,55	0,17	0,18	0,17	NA	NA	NA	NA	NA	NA
roche	4	20121016-688-343	20121016	688-343	94	117	101,5	51	63	59,17	66	74	70,5	97	121	111,33	0,11	0,22	0,13	0,26	0,39	0,31	0,07	0,14	0,09	NA	NA	NA	NA	NA	NA
vegbasse	2	20121016-688-343	20121016	688-343	244	338	297,67	33	37	34,97	56	61	58,48	97	148	123,55	0,37	0,45	0,41	0,49	0,61	0,56	0,23	0,27	0,25	NA	NA	NA	NA	NA	NA
vegbasse	2	20121016-688-343	20121016	688-343	245	319	285,08	33	38	36,06	56	62	59,45	102	128	116,08	0,36	0,43	0,4	0,48	0,56	0,53	0,22	0,26	0,24	NA	NA	NA	NA	NA	NA
foret	10	20121016-688-343	20121016	688-343	100	293	209,86	29	38	33,53	49	63	55,57	37	112	81,89	0,35	0,47	0,4	0,1	0,54	0,41	0,22	0,28	0,25	NA	NA	NA	NA	NA	NA
foret	10	20121016-688-343	20121016	688-343	107	293	209,74	28	39	33,11	49	63	54,92	41	115	84,84	0,32	0,48	0,4	0,14	0,54	0,43	0,2	0,29	0,25	NA	NA	NA	NA	NA	NA
vegbasse	2	20121016-688-343	20121016	688-343	316	370	346,68	39	45	41,28	64	71	66,66	140	158	148,49	0,34	0,41	0,38	0,53	0,6	0,56	0,21	0,25	0,24	NA	NA	NA	NA	NA	NA
vegbasse	2	20121016-688-343	20121016	688-343	328	370	351,44	39	44	40,94	64	70	67,19	142	160	152,69	0,36	0,43	0,39	0,54	0,6	0,58	0,22	0,26	0,24	NA	NA	NA	NA	NA	NA
vegbasse	2	20121016-688-343	20121016	688-343	344	396	370,81	38	40	39	64	67	64,92	137	166	153,88	0,39	0,44	0,41	0,56	0,62	0,6	0,24	0,27	0,25	NA	NA	NA	NA	NA	NA
vegbasse	2	20121016-688-343	20121016	688-343	302	368	340,9	35	40	37,65	60	67	62,85	105	165	138,32	0,39	0,43	0,41	0,48	0,64	0,57	0,24	0,26	0,25	NA	NA	NA	NA	NA	NA
nuage	6	20121016-688-343	20121016	688-343	198	382	304,36	58	226	147,19	74	179	149,89	87	219	195,59	-0,17	0,2	0,04	-0,02	0,35	0,16	-0,12	0,13	0,02	NA	NA	NA	NA	NA	NA
frange	8	20121016-688-343	20121016	688-343	244	284	267,81	48	92	73,45	69	111	93,21	104	177	147,19	0,13	0,28	0,19	0,27	0,42	0,33	0,08	0,18	0,12	NA	NA	NA	NA	NA	NA
ombre	7	20121016-688-343	20121016	688-343	70	247	114,41	27	38	29,47	47	61	50,03	27	109	46,85	0,35	0,47	0,42	0	0,55	0,21	0,22	0,28	0,26	NA	NA	NA	NA	NA	NA
ombre	7	20121016-688-343	20121016	688-343	63	216	107,77	25	35	28,09	45	54	48,54	27	86	44,17	0,34	0,49	0,44	0	0,47	0,21	0,21	0,3	0,27	NA	NA	NA	NA	NA	NA
frange	8	20121016-688-343	20121016	688-343	198	295	233,94	39	63	50,48	61	86	70,58	84	124	109,42	0,19	0,35	0,26	0,27	0,49	0,37	0,12	0,22	0,17	NA	NA	NA	NA	NA	NA
destructure	12	20121016-688-343	20121016	688-343	137	330	238,97	30	40	34,3	49	64	56,96	53	138	97,64	0,33	0,47	0,4	0,28	0,59	0,48	0,2	0,28	0,25	NA	NA	NA	NA	NA	NA
destructure	12	20121016-688-343	20121016	688-343	189	319	263,7	32	45	37,22	54	71	59,76	77	131	109,49	0,33	0,45	0,38	0,36	0,57	0,49	0,2	0,27	0,23	NA	NA	NA	NA	NA	NA
destructure	12	20121016-688-343	20121016	688-343	73	349	219,01	25	84	31,68	43	96	53,26	24	191	86,98	0	0,5	0,41	-0,04	0,62	0,46	0	0,3	0,25	NA	NA	NA	NA	NA	NA
vegbasse	2	20121016-688-343	20121016	688-343	263	282	271,67	32	35	33,5	56	58	56,5	98	114	106,17	0,37	0,45	0,42	0,5	0,55	0,52	0,23	0,27	0,26	NA	NA	NA	NA	NA	NA
vegbasse	2	20121016-688-343	20121016	688-343	274	321	289,08	34	36	34,75	56	59	58,17	99	118	109,17	0,39	0,43	0,41	0,49	0,53	0,52	0,24	0,26	0,25	NA	NA	NA	NA	NA	NA
vegbasse	2	20121016-688-343	20121016	688-343	256	268	262	32	33	32,5	57	57	57	102	121	111,5	0,44	0,46	0,45	0,51	0,58	0,55	0,27	0,28	0,27	NA	NA	NA	NA	NA	NA
vegbasse	2	20121016-688-343	20121016	688-343	302	384	333,92	33	37	34,88	59	61	59,96	119	151	133,04	0,4	0,47	0,43	0,53	0,61	0,58	0,24	0,28	0,26	NA	NA	NA	NA	NA	NA
vegbasse	2	20121016-688-343	20121016	688-343	277	367	322,95	32	37	34,26	56	61	58,84	103	156	128,49	0,39	0,47	0,43	0,5	0,62	0,58	0,24	0,28	0,26	NA	NA	NA	NA	NA	NA
vegbasse	2	20090905-688-344	20090905	688-344	266	402	360,33	33	43	37,39	57	70	65,1	139	188	171,04	0,34	0,49	0,44	0,58	0,68	0,64	0,21	0,3	0,27	NA	NA	NA	NA	NA	NA
vegbasse	2	20090905-688-344	20090905	688-344	337	395	365,06	36	46	38,68	63	73	66,29	160	187	176,88	0,37	0,48	0,43	0,6	0,66	0,64	0,23	0,29	0,26	NA	NA	NA	NA	NA	NA
foret	10	20090905-688-344	20090905	688-344	145	306	232,92	28	46	33,86	50	71	58,29	78	136	108,93	0,27	0,54	0,44	0,42	0,61	0,52	0,17	0,32	0,27	NA	NA	NA	NA	NA	NA
vegbasse	2	20090905-688-344	20090905	688-344	287	364	332,19	35	42	37,6	58	71	65,09	140	179	160,95	0,38	0,48	0,44	0,59	0,65	0,62	0,24	0,29	0,27	NA	NA	NA	NA	NA	NA
foret	10	20090905-688-344	20090905	688-344	116	324	219,42	28	77	34,35	49	100	58,09	60	150	103,86	0,18	0,54	0,42	0,3	0,61	0,5	0,11	0,32	0,26	NA	NA	NA	NA	NA	NA
